frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
243,Aug 13 2019 20:30:10.749505000 MST,0.042049000,188,70,1
244,Aug 13 2019 20:30:10.774573000 MST,0.025068000,548,70,0
245,Aug 13 2019 20:30:10.895533000 MST,0.120960000,72,70,1
246,Aug 13 2019 20:30:13.954476000 MST,3.058943000,548,70,0
247,Aug 13 2019 20:30:14.018475000 MST,0.063999000,72,70,1
248,Aug 13 2019 20:30:14.022551000 MST,0.004076000,176,70,1
249,Aug 13 2019 20:30:14.054549000 MST,0.031998000,548,70,0
250,Aug 13 2019 20:30:14.159526000 MST,0.104977000,72,70,1
251,Aug 13 2019 20:30:15.434603000 MST,1.275077000,548,70,0
252,Aug 13 2019 20:30:15.498414000 MST,0.063811000,136,70,1
253,Aug 13 2019 20:30:15.515444000 MST,0.017030000,208,70,1
254,Aug 13 2019 20:30:15.534479000 MST,0.019035000,548,70,0
255,Aug 13 2019 20:30:15.643373000 MST,0.108894000,72,70,1
256,Aug 13 2019 20:30:27.614422000 MST,11.971049000,548,70,0
257,Aug 13 2019 20:30:27.678422000 MST,0.064000000,72,70,1
258,Aug 13 2019 20:30:27.685349000 MST,0.006927000,176,70,1
259,Aug 13 2019 20:30:27.714487000 MST,0.029138000,548,70,0
260,Aug 13 2019 20:30:27.819478000 MST,0.104991000,72,70,1
261,Aug 13 2019 20:30:29.714480000 MST,1.895002000,548,70,0
262,Aug 13 2019 20:30:29.778304000 MST,0.063824000,232,70,1
263,Aug 13 2019 20:30:29.834419000 MST,0.056115000,548,70,0
264,Aug 13 2019 20:30:31.174369000 MST,1.339950000,548,70,0
265,Aug 13 2019 20:30:31.186427000 MST,0.012058000,64,70,1
266,Aug 13 2019 20:30:31.314360000 MST,0.127933000,548,70,0
267,Aug 13 2019 20:30:31.326418000 MST,0.012058000,64,70,1
268,Aug 13 2019 20:30:31.748325000 MST,0.421907000,64,70,1
269,Aug 13 2019 20:30:31.794497000 MST,0.046172000,532,70,0
270,Aug 13 2019 20:30:31.807404000 MST,0.012907000,100,70,1
271,Aug 13 2019 20:30:31.808436000 MST,0.001032000,120,70,1
272,Aug 13 2019 20:30:31.834408000 MST,0.025972000,548,70,0
273,Aug 13 2019 20:30:31.847311000 MST,0.012903000,88,70,1
274,Aug 13 2019 20:30:31.848400000 MST,0.001089000,88,70,1
275,Aug 13 2019 20:30:31.874504000 MST,0.026104000,548,70,0
276,Aug 13 2019 20:30:31.883372000 MST,0.008868000,548,70,0
277,Aug 13 2019 20:30:31.896480000 MST,0.013108000,284,70,1
278,Aug 13 2019 20:30:31.898408000 MST,0.001928000,240,70,1
279,Aug 13 2019 20:30:31.934473000 MST,0.036065000,548,70,0
280,Aug 13 2019 20:30:31.986457000 MST,0.051984000,72,70,1
281,Aug 13 2019 20:30:32.014498000 MST,0.028041000,548,70,0
282,Aug 13 2019 20:30:32.026379000 MST,0.011881000,72,70,1
283,Aug 13 2019 20:30:32.027398000 MST,0.001019000,232,70,1
284,Aug 13 2019 20:30:32.094340000 MST,0.066942000,548,70,0
285,Aug 13 2019 20:30:32.774436000 MST,0.680096000,548,70,0
286,Aug 13 2019 20:30:32.844367000 MST,0.069931000,176,70,1
287,Aug 13 2019 20:30:32.874498000 MST,0.030131000,548,70,0
288,Aug 13 2019 20:30:32.979312000 MST,0.104814000,72,70,1
289,Aug 13 2019 20:30:33.094339000 MST,0.115027000,548,70,0
290,Aug 13 2019 20:30:33.159405000 MST,0.065066000,136,70,1
291,Aug 13 2019 20:30:33.175370000 MST,0.015965000,208,70,1
292,Aug 13 2019 20:30:33.194408000 MST,0.019038000,548,70,0
293,Aug 13 2019 20:30:33.303298000 MST,0.108890000,72,70,1
294,Aug 13 2019 20:30:36.494424000 MST,3.191126000,548,70,0
295,Aug 13 2019 20:30:40.383302000 MST,3.888878000,148,70,1
296,Aug 13 2019 20:30:40.390381000 MST,0.007079000,284,70,1
297,Aug 13 2019 20:30:40.414367000 MST,0.023986000,548,70,0
298,Aug 13 2019 20:30:40.434474000 MST,0.020107000,532,70,0
299,Aug 13 2019 20:30:40.478410000 MST,0.043936000,128,70,1
300,Aug 13 2019 20:30:40.498274000 MST,0.019864000,72,70,1
301,Aug 13 2019 20:30:40.507302000 MST,0.009028000,188,70,1
302,Aug 13 2019 20:30:40.534368000 MST,0.027066000,548,70,0
303,Aug 13 2019 20:30:40.643408000 MST,0.109040000,72,70,1
304,Aug 13 2019 20:30:49.574397000 MST,8.930989000,548,70,0
305,Aug 13 2019 20:30:49.638397000 MST,0.064000000,232,70,1
306,Aug 13 2019 20:30:49.714346000 MST,0.075949000,548,70,0
307,Aug 13 2019 20:31:02.034352000 MST,12.320006000,548,70,0
308,Aug 13 2019 20:31:02.047251000 MST,0.012899000,88,70,1
309,Aug 13 2019 20:31:02.074264000 MST,0.027013000,548,70,0
310,Aug 13 2019 20:31:02.083291000 MST,0.009027000,208,70,0
311,Aug 13 2019 20:31:02.096249000 MST,0.012958000,72,70,1
312,Aug 13 2019 20:31:02.097286000 MST,0.001037000,284,70,1
313,Aug 13 2019 20:31:02.134241000 MST,0.036955000,548,70,0
314,Aug 13 2019 20:31:02.154284000 MST,0.020043000,548,70,0
315,Aug 13 2019 20:31:02.163433000 MST,0.009149000,1707,70,0
316,Aug 13 2019 20:31:02.164327000 MST,0.000894000,1707,70,0
317,Aug 13 2019 20:31:02.165343000 MST,0.001016000,1302,70,0
318,Aug 13 2019 20:31:02.166169000 MST,0.000826000,72,70,1
319,Aug 13 2019 20:31:02.167196000 MST,0.001027000,764,70,1
